City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,polyarnyy,69.1989,33.4478,0.05,87,100,8.16,RU,1733866071
153,gainesville,29.6516,-82.3248,25.91,60,0,5.14,US,1733865983
154,kingston,17.997,-76.7936,30.53,70,20,10.29,JM,1733865920
155,bayanhongor,46.7167,100.1167,-17.7,97,100,0.47,MN,1733866074
156,berkeley heights,40.6834,-74.4427,9.04,96,100,3.13,US,1733865964
157,mount gambier,-37.8333,140.7667,13.91,71,15,2.25,AU,1733866076
158,broken hill,-31.95,141.4333,17.31,49,0,7.89,AU,1733866077
159,ribeira grande,38.5167,-28.7,17.65,94,75,5.81,PT,1733866079
160,mangrol,21.1167,70.1167,18.24,34,38,3.84,IN,1733866080
161,labrador city,52.9463,-66.9114,-14.34,85,100,4.12,CA,1733866081
162,kampene,-3.6,26.6667,19.94,99,77,0.72,CD,1733866082
163,takoradi,4.8845,-1.7554,26.5,85,1,3.83,GH,1733866083
164,gwadar,25.1216,62.3254,20.59,41,0,3.61,PK,1733866084
165,iskateley,67.6803,53.1512,-2.59,91,99,5.26,RU,1733866085
166,pasuruan,-7.6453,112.9075,25.25,89,100,0.82,ID,1733866086
167,basoko,1.2391,23.616,24.61,59,8,0.48,CD,1733866087
168,huskvarna,57.786,14.3021,-6.0,100,75,0.0,SE,1733866088
169,kapuskasing,49.4169,-82.4331,-9.95,85,75,3.6,CA,1733866090
170,st. john's,47.5649,-52.7093,-1.36,77,40,2.57,CA,1733866044
171,along,28.1667,94.7667,6.01,83,8,0.29,IN,1733866092
172,san clemente del tuyu,-36.3569,-56.7235,21.06,67,0,7.84,AR,1733866093
173,kirriemuir,56.674,-3.0034,-3.26,59,70,0.86,GB,1733866094
174,kutulik,53.3508,102.7839,-25.67,100,92,1.4,RU,1733866095
175,kolonia town,6.964,158.206,30.0,79,100,6.17,FM,1733866096
176,cabo san lucas,22.8909,-109.9124,25.42,52,0,3.09,MX,1733865885
177,salekhard,66.53,66.6019,-9.86,96,100,4.97,RU,1733866098
178,lake arrowhead,34.2483,-117.1892,13.46,10,0,2.24,US,1733866100
179,kodiak,57.79,-152.4072,5.73,93,100,11.83,US,1733866101
180,ambon,-3.6954,128.1814,27.71,100,100,1.93,ID,1733866102
181,tamanrasset,22.785,5.5228,10.95,11,0,1.54,DZ,1733866104
182,galle,6.0367,80.217,24.88,88,99,3.11,LK,1733866105
183,thurgoona,-36.0451,146.9919,14.62,64,5,1.14,AU,1733866106
184,ugoofaaru,5.6667,73.0,26.75,78,44,0.49,MV,1733866107
185,gadzhiyevo,69.2551,33.3362,-0.02,86,100,8.01,RU,1733866108
186,boende,-0.2167,20.8667,23.47,83,59,0.69,CD,1733866109
187,chiang rai,19.9167,99.9167,19.76,95,20,0.0,TH,1733866110
188,nemuro,43.3236,145.575,-0.95,64,100,3.03,JP,1733866111
189,quelimane,-17.8786,36.8883,22.88,84,9,1.31,MZ,1733866113
190,jinchang,38.4953,102.1739,-7.95,70,2,2.15,CN,1733866114
191,nyurba,63.2842,118.3319,-14.64,93,100,4.1,RU,1733866116
192,whakatane,-37.9585,176.9854,19.1,45,99,1.21,NZ,1733866117
193,manicore,-5.8092,-61.3003,29.76,64,100,0.37,BR,1733866118
194,lebu,-37.6167,-73.65,14.93,68,0,7.1,CL,1733866119
195,acarau,-2.8856,-40.12,26.91,73,82,7.83,BR,1733865913
196,sovetskiy,61.3614,63.5842,-6.65,85,100,4.96,RU,1733866122
197,scottburgh,-30.2867,30.7532,23.98,86,98,4.36,ZA,1733866123
198,novo aripuana,-5.1206,-60.3797,29.27,67,98,1.5,BR,1733866125
199,awjilah,29.1081,21.2869,16.49,32,99,2.58,LY,1733866126
